week,TV,Digital,Sponsorship,ContentMarketing,OnlineMarketing,Affiliates,SEM,Radio,Other
1,0.026578073,0.332225914,0.983388704,0,0.172757475,0.066445183,0.664451827,0,0
2,0.051140171,0.728636546,2.568910687,0,0.332982443,0.121177476,1.483365654,0,0
3,0.055417635,0.904324154,3.936113346,0,0.361415336,0.125212396,1.878463166,0,0
4,0.056162551,0.982188199,5.115058282,0,0.366460925,0.125509855,2.069084009,0,0
5,0.049647759,0.976830123,5.922365419,0,0.327489186,0.112242747,2.077995474,0,0
6,0.008646105,0.735252788,5.362696001,0,0.081370757,0.031530463,1.583956077,0,0
7,0.00150571,0.628186678,4.880090572,0,0.037695548,0.025580272,1.345599206,0,0
8,0.000262218,0.580735406,4.463937764,0,0.029945118,0.025141618,1.230600285,0,0
9,4.5665E-05,0.559705192,4.105087346,0,0.028569757,0.02510928,1.175117295,0,0
10,0.647848484,0.566995981,14.04481847,0.099667774,2.735966887,0.839060384,1.762966618,0,0
11,1.019798875,0.576871748,26.71556061,0.228635131,4.299467411,1.22464708,2.292430699,0,0
12,1.084573644,0.581248648,37.64159793,0.343928399,4.576920065,1.253072923,2.54787875,0,0
13,1.095854102,0.583188473,47.06316851,0.446997407,4.626155721,1.255168505,2.671123573,0,0
14,1.317087685,1.700327265,57.37015499,0.818208032,5.43223508,1.454658541,5.292046718,0,0
15,1.647974084,3.683810806,69.16821429,1.522153137,6.638401676,1.73514588,9.971833605,0,0
16,1.705597602,4.562882783,79.34173332,2.151460689,6.852443256,1.755823691,12.22966843,0,0
17,1.715632677,4.95248397,88.11440403,2.714044321,6.890426233,1.757348081,13.31899541,0,0
18,1.717380275,5.125153658,95.67911701,3.216978606,6.897166543,1.75746046,13.84455788,0,0
19,1.275824152,2.573773197,85.80685383,2.922401969,5.782083582,1.664445489,7.888821217,0,0
20,1.198927619,1.443011575,77.29395737,2.659058563,5.584205345,1.657588331,5.015384889,0,0
21,1.185536168,0.941862544,69.95324888,2.423636805,5.549090652,1.657082814,3.629051544,0,0
22,1.183204061,0.719755296,63.62332329,2.213176232,5.542859336,1.657045547,2.960193799,0,0
23,1.382133475,0.920321574,65.22480096,2.174531933,6.023481126,1.690265391,3.634170882,0,0
24,1.496511043,1.128813076,69.42968255,2.199785658,6.301461409,1.706003428,4.358012539,0,0
25,1.516429775,1.221215676,73.05557065,2.222361793,6.350790696,1.707163652,4.707241028,0,0
26,1.519898602,1.262168139,76.18219008,2.242544236,6.359544478,1.707249185,4.875731658,0,0
27,1.454057512,1.107560632,75.38991584,2.247297748,6.387675962,1.7471226,4.491906263,0.179401993,1.800664452
28,1.276478398,0.607145515,65.98580401,2.218324666,6.459113248,1.849729883,3.143933128,0.778171565,7.856954164
29,1.245553183,0.385363535,57.87659653,2.192423528,6.471790227,1.857294196,2.493582853,1.279692543,13.08573573
30,1.240167589,0.287070648,50.88399085,2.169268623,6.474039834,1.857851845,2.179811407,1.699759466,17.60007668
31,1.239229693,0.243507634,44.85423587,2.148568776,6.474439041,1.857892955,2.028427569,2.051601617,21.49759543
32,0.880262373,0.503270447,41.14976793,2.070263017,5.876503238,1.678493993,2.094925003,1.808093678,19.46057885
33,0.757947928,0.664907916,38.20455818,1.990293047,5.670728128,1.635368187,2.150263522,1.514433854,16.80156016
34,0.736646996,0.736544996,35.66489071,1.918802094,5.634212086,1.632188909,2.176962438,1.268468512,14.50585956
35,0.732937461,0.768294263,33.47492416,1.85489115,5.627732093,1.631954529,2.189843738,1.062451399,12.52383466
36,1.84524826,0.815588003,36.55328366,1.764533933,5.377412744,1.582103363,2.245892406,1.039396021,13.45382205
37,2.484138739,0.849837436,41.19447772,1.670468031,5.233324283,1.55849473,2.292867498,1.079885825,15.31321793
38,2.595400843,0.865016648,45.19660001,1.586375704,5.207754911,1.556754278,2.315531351,1.113799516,16.91855311
39,2.614777021,0.871744014,48.64764786,1.511199477,5.203217471,1.55662597,2.326465874,1.142205147,18.30454147
40,2.345726113,0.794991336,50.47400011,1.417415927,5.076166427,1.523393919,2.265296219,1.10619664,18.44467529
41,1.617808058,0.561639308,49.17511763,1.267130831,4.738005831,1.437887541,2.069671026,0.926534759,15.92446576
42,1.491041895,0.458218622,48.05508549,1.132780091,4.677997182,1.431583924,1.975288656,0.776052493,13.74860796
43,1.468965701,0.412382987,47.08927679,1.012674227,4.667348283,1.431119215,1.929752437,0.650010661,11.87005102
44,1.465121155,0.392068817,46.25645566,0.90530289,4.665458571,1.431084956,1.907782791,0.544439794,10.24817287
45,0.580730702,0.359809844,47.25924052,0.995362381,6.339541835,1.686896384,2.525090176,0.711829074,10.01069262
46,0.426715035,0.345512796,48.12394637,1.075873087,6.636618066,1.705755062,2.822919574,0.852031982,9.805660757
47,0.399893369,0.339176402,48.86958606,1.147847443,6.689336046,1.707145342,2.966611927,0.969463967,9.628643659
48,0.395222404,0.336368137,49.51255449,1.212190537,6.698691171,1.707247835,3.035938502,1.067823347,9.475813497
49,0.43427607,0.414857745,49.17662358,1.163399199,4.613972558,1.175693929,2.644137,1.00402838,8.679413634
50,0.470977558,0.50944469,48.21917478,1.040046867,2.679242539,0.73783614,2.13616949,0.840960061,7.493491917
51,0.477369083,0.551365246,47.39356241,0.929773276,2.335912959,0.705556819,1.891092789,0.704376328,6.469609984
52,0.47848216,0.569944268,46.6816332,0.831191721,2.274987042,0.703177155,1.772851782,0.589975713,5.585627343
53,0.365719191,0.485155161,44.4066039,0.743062524,1.732613907,0.516955212,1.469957423,0.494155366,4.822428693
