"week","gmv"
1,670871
2,35524493.7997572
3,50173056.7633776
4,46849335.5
5,39246117.6666667
6,21362
7,8831
8,17987
9,72788
10,70691095.5052583
11,98352774
12,96408086.0023558
13,97663276
14,72524082
15,44150510
16,293596201.61831
17,52892090.5747298
18,91911501.2898918
19,93892472.8564102
20,120030001.802091
21,50012647.8841781
22,47577865.5010855
23,66395702.3479366
24,108721179.288166
25,69263878.2111287
26,154607585.134558
27,71141134.3755622
28,69654386.2500116
29,62962474.3363479
30,147178533.49257
31,73797653.6267419
32,76441431.7500932
33,69958251.0533389
34,84762834.4825771
35,89314294.0050925
36,73083886.2580349
37,148786414.811056
38,77341625.2505629
39,70677952.5768393
40,73150391.7647846
41,81245286.7798881
42,69788970.6204642
43,52650999.2504668
44,114397752.080015
45,74672993
46,76415745
47,78010767.250264
48,150047690.329537
49,67177029.917037
50,68384497.8214946
51,70872725
52,75167242.2514474
53,51431435.6322789
