"week","gmv","product_mrp","list_price","units","Promotion","sla","cat_luxury","cat_mid","cat_premium","sale_days","holidays","TV","Digital","Sponsorship","ContentMarketing","OnlineMarketing","Affiliates","SEM","Radio","Other","NPS"
1,18196,1422.53571428571,649.857142857143,28,0.456362920359957,2.5,0,0,0,0,0,0.026578073,0.332225914,0.983388704,0,0.172757475,0.066445183,0.664451827,0,0,54.6
2,327179,40047,32717.9,10,0.177226764355165,5.3,0,1,0,0,0,0.051140171,0.728636546,2.568910687,0,0.332982443,0.121177476,1.483365654,0,0,54.6
2,2993344,2211.22579316028,1215.16069221261,2541,0.425123703691729,6.92088998763906,0,0,0,0,0,0.051140171,0.728636546,2.568910687,0,0.332982443,0.121177476,1.483365654,0,0,54.6
3,70349,81700,70349,1,0.138935128518972,9,0,0,1,1,1,0.055417635,0.904324154,3.936113346,0,0.361415336,0.125212396,1.878463166,0,0,54.6
3,635562,41591.7647058823,37386,17,0.112398874702355,6.11764705882353,0,1,0,1,1,0.055417635,0.904324154,3.936113346,0,0.361415336,0.125212396,1.878463166,0,0,54.6
3,4105896,2368.85567010309,1304.31507731959,3206,0.432459132773109,6.7145618556701,0,0,0,1,1,0.055417635,0.904324154,3.936113346,0,0.361415336,0.125212396,1.878463166,0,0,54.6
4,3906357,2257.69325952458,1244.82872028655,3188,0.427709021447026,6.42168674698795,0,0,0,1,0,0.056162551,0.982188199,5.115058282,0,0.366460925,0.125509855,2.069084009,0,0,54.6
4,131097,81775,65548.5,2,0.19805749502774,5.5,0,0,1,1,0,0.056162551,0.982188199,5.115058282,0,0.366460925,0.125509855,2.069084009,0,0,54.6
4,453615,42466,32401.0714285714,14,0.241364830650517,6.21428571428571,0,1,0,1,0,0.056162551,0.982188199,5.115058282,0,0.366460925,0.125509855,2.069084009,0,0,54.6
5,3219464,2233.45389507154,1255.37519872814,2643,0.418837543692298,6.41414944356121,0,0,0,0,0,0.049647759,0.976830123,5.922365419,0,0.327489186,0.112242747,2.077995474,0,0,57.3
5,235540,41270,33648.5714285714,7,0.17753427915498,4.85714285714286,0,1,0,0,0,0.049647759,0.976830123,5.922365419,0,0.327489186,0.112242747,2.077995474,0,0,57.3
5,118489,95400,59244.5,2,0.367061843850286,4,0,0,1,0,0,0.049647759,0.976830123,5.922365419,0,0.327489186,0.112242747,2.077995474,0,0,57.3
6,2496,666.666666666667,416,6,0.151532567049808,6.66666666666667,0,0,0,0,0,0.008646105,0.735252788,5.362696001,0,0.081370757,0.031530463,1.583956077,0,0,60
7,1397,1576,465.666666666667,3,0.543771889751789,8.66666666666667,0,0,0,1,1,0.00150571,0.628186678,4.880090572,0,0.037695548,0.025580272,1.345599206,0,0,60
9,1534,1090,767,2,0.296330275229358,8,0,0,0,2,0,4.5665e-05,0.559705192,4.105087346,0,0.028569757,0.02510928,1.175117295,0,0,60
10,5433979,2033.93574889404,1122.83989888351,4977,0.425279631700245,6.50979566041711,0,0,0,1,1,0.647848484,0.566995981,14.04481847,0.099667774,2.735966887,0.839060384,1.762966618,0,0,53.45
10,742156,40212.0833333333,30923.1666666667,24,0.226625298686782,4,0,1,0,1,1,0.647848484,0.566995981,14.04481847,0.099667774,2.735966887,0.839060384,1.762966618,0,0,53.45
10,86598,106900,43299,2,0.594957904583723,6,0,0,1,1,1,0.647848484,0.566995981,14.04481847,0.099667774,2.735966887,0.839060384,1.762966618,0,0,53.45
11,9108715,2284.10406864102,1239.24287295876,7476,0.430483540181253,6.56725712704124,0,0,0,0,0,1.019798875,0.576871748,26.71556061,0.228635131,4.299467411,1.22464708,2.292430699,0,0,46.9
11,174398,103900,43599.5,4,0.579936831380068,3.5,0,0,1,0,0,1.019798875,0.576871748,26.71556061,0.228635131,4.299467411,1.22464708,2.292430699,0,0,46.9
11,1259669,47051.3636363636,38171.7878787879,33,0.181063141462583,4.24242424242424,0,1,0,0,0,1.019798875,0.576871748,26.71556061,0.228635131,4.299467411,1.22464708,2.292430699,0,0,46.9
12,8055790,2237.85817524842,1185.86781090033,6882,0.449231856076652,6.44384221619994,0,0,0,0,1,1.084573644,0.581248648,37.64159793,0.343928399,4.576920065,1.253072923,2.54787875,0,0,46.9
12,407378,97600,50922.25,8,0.459073732223121,4,0,0,1,0,1,1.084573644,0.581248648,37.64159793,0.343928399,4.576920065,1.253072923,2.54787875,0,0,46.9
12,1226294,44295.8823529412,36067.4705882353,34,0.176962475444669,4.05882352941176,0,1,0,0,1,1.084573644,0.581248648,37.64159793,0.343928399,4.576920065,1.253072923,2.54787875,0,0,46.9
13,8168088,2384.96351474612,1214.36515658255,6808,0.467232761356709,6.40620249315901,0,0,0,0,0,1.095854102,0.583188473,47.06316851,0.446997407,4.626155721,1.255168505,2.671123573,0,0,46.9
13,302978,86800,75744.5,4,0.126487247993202,5,0,0,1,0,0,1.095854102,0.583188473,47.06316851,0.446997407,4.626155721,1.255168505,2.671123573,0,0,46.9
13,1116548,47154.2857142857,39876.7142857143,28,0.149782540004402,4.14285714285714,0,1,0,0,0,1.095854102,0.583188473,47.06316851,0.446997407,4.626155721,1.255168505,2.671123573,0,0,46.9
14,7214764,2220.40078999342,936.462804476629,7781,0.572642987286974,5.6329163923634,0,0,0,0,1,1.317087685,1.700327265,57.37015499,0.818208032,5.43223508,1.454658541,5.292046718,0,0,45.65
14,117374,98400,58687,2,0.38558185948216,3,0,0,1,0,1,1.317087685,1.700327265,57.37015499,0.818208032,5.43223508,1.454658541,5.292046718,0,0,45.65
14,998902,39581.3793103448,34444.8965517241,29,0.137902363099432,4.17241379310345,0,1,0,0,1,1.317087685,1.700327265,57.37015499,0.818208032,5.43223508,1.454658541,5.292046718,0,0,45.65
15,395577,39556.25,32964.75,12,0.15578109547649,5.33333333333333,0,1,0,0,0,1.647974084,3.683810806,69.16821429,1.522153137,6.638401676,1.73514588,9.971833605,0,0,44.4
15,3753474,2048.87696986453,1018.83245783799,3709,0.486418753664941,6.04865910975947,0,0,0,0,0,1.647974084,3.683810806,69.16821429,1.522153137,6.638401676,1.73514588,9.971833605,0,0,44.4
