"week","gmv","product_mrp","list_price","Promotion","sla","cat_luxury","cat_mid","cat_premium","sale_days","holidays","TV","Digital","Sponsorship","ContentMarketing","OnlineMarketing","Affiliates","SEM","Radio","Other","NPS"
1,38521,1767.93548387097,1228.45161290323,0.225975373150196,2.64516129032258,0,0,0,0,0,0.026578073,0.332225914,0.983388704,0,0.172757475,0.066445183,0.664451827,0,0,54.6
1,999,50000,999,0.98002,8,0,1,0,0,0,0.026578073,0.332225914,0.983388704,0,0.172757475,0.066445183,0.664451827,0,0,54.6
2,2389160,1414.61067267944,861.931980458474,0.401362300079326,5.09845922585494,0,0,0,0,0,0.051140171,0.728636546,2.568910687,0,0.332982443,0.121177476,1.483365654,0,0,54.6
2,24426,50000,1017.75,0.979645,5,0,1,0,0,0,0.051140171,0.728636546,2.568910687,0,0.332982443,0.121177476,1.483365654,0,0,54.6
3,2320377.35919791,1295.8885641213,825.013153087322,0.403938734064383,5.56302521008403,0,0,0,1,1,0.055417635,0.904324154,3.936113346,0,0.361415336,0.125212396,1.878463166,0,0,54.6
3,28623,50000,1060.11111111111,0.978797777777778,2.18518518518519,0,1,0,1,1,0.055417635,0.904324154,3.936113346,0,0.361415336,0.125212396,1.878463166,0,0,54.6
4,38214,50000,1063.0625,0.97873875,2.59375,0,1,0,1,0,0.056162551,0.982188199,5.115058282,0,0.366460925,0.125509855,2.069084009,0,0,54.6
4,2552306.5,1510.92471042471,956.874903474903,0.352760335823412,5.26949806949807,0,0,0,1,0,0.056162551,0.982188199,5.115058282,0,0.366460925,0.125509855,2.069084009,0,0,54.6
5,2335305,1799.09305555556,1037.73981481481,0.373193388539196,5.70601851851852,0,0,0,0,0,0.049647759,0.976830123,5.922365419,0,0.327489186,0.112242747,2.077995474,0,0,57.3
5,100926,50000,813.91935483871,0.983721612903226,2.7741935483871,0,1,0,0,0,0.049647759,0.976830123,5.922365419,0,0.327489186,0.112242747,2.077995474,0,0,57.3
6,2644,1624.6,528.8,0.54801601588155,6.4,0,0,0,0,0,0.008646105,0.735252788,5.362696001,0,0.081370757,0.031530463,1.583956077,0,0,60
7,4875,2583.25,1218.75,0.385991999141128,6,0,0,0,1,1,0.00150571,0.628186678,4.880090572,0,0.037695548,0.025580272,1.345599206,0,0,60
8,1246,586.5,311.5,0.462551958698807,2.75,0,0,0,2,0,0.000262218,0.580735406,4.463937764,0,0.029945118,0.025141618,1.230600285,0,0,60
9,1736,716,289.333333333333,0.506642055369631,6.33333333333333,0,0,0,2,0,4.5665e-05,0.559705192,4.105087346,0,0.028569757,0.02510928,1.175117295,0,0,60
10,3821431,1188.80016618197,767.820938928126,0.372486824858296,5.08018280016618,0,0,0,1,1,0.647848484,0.566995981,14.04481847,0.099667774,2.735966887,0.839060384,1.762966618,0,0,53.45
10,42122,50000,1108.47368421053,0.977830526315789,3.26315789473684,0,1,0,1,1,0.647848484,0.566995981,14.04481847,0.099667774,2.735966887,0.839060384,1.762966618,0,0,53.45
11,4904104,1406.29631771737,929.598226335068,0.348781441980344,5.59475612107191,0,0,0,0,0,1.019798875,0.576871748,26.71556061,0.228635131,4.299467411,1.22464708,2.292430699,0,0,46.9
11,81866,50000,1106.2972972973,0.977874054054054,2.59459459459459,0,1,0,0,0,1.019798875,0.576871748,26.71556061,0.228635131,4.299467411,1.22464708,2.292430699,0,0,46.9
12,5221824.00235581,1478.17469540769,958.078725398313,0.373269688386345,5.60093720712277,0,0,0,0,1,1.084573644,0.581248648,37.64159793,0.343928399,4.576920065,1.253072923,2.54787875,0,0,46.9
12,98764,50000,1028.79166666667,0.979424166666667,3.27083333333333,0,1,0,0,1,1.084573644,0.581248648,37.64159793,0.343928399,4.576920065,1.253072923,2.54787875,0,0,46.9
13,5038724,1468.12261268144,938.561115355233,0.363278504534208,5.99121466768526,0,0,0,0,0,1.095854102,0.583188473,47.06316851,0.446997407,4.626155721,1.255168505,2.671123573,0,0,46.9
13,117866,50000,1052.375,0.9789525,3.32142857142857,0,1,0,0,0,1.095854102,0.583188473,47.06316851,0.446997407,4.626155721,1.255168505,2.671123573,0,0,46.9
14,4048438,1512.11444921316,944.613018597997,0.381695357832864,6.02336671435384,0,0,0,0,1,1.317087685,1.700327265,57.37015499,0.818208032,5.43223508,1.454658541,5.292046718,0,0,45.65
14,103986,50000,1009.57281553398,0.97980854368932,3.07766990291262,0,1,0,0,1,1.317087685,1.700327265,57.37015499,0.818208032,5.43223508,1.454658541,5.292046718,0,0,45.65
15,68792,49617.5,2023.29411764706,0.952296859909527,3.05882352941176,0,1,0,0,0,1.647974084,3.683810806,69.16821429,1.522153137,6.638401676,1.73514588,9.971833605,0,0,44.4
15,2142216,1287.39942763696,837.070727718724,0.356872791543773,5.37162714636141,0,0,0,0,0,1.647974084,3.683810806,69.16821429,1.522153137,6.638401676,1.73514588,9.971833605,0,0,44.4
16,726892.5,49983.9839901478,891.014778325123,0.981876701181827,3.39778325123153,0,1,0,3,0,1.705597602,4.562882783,79.34173332,2.151460689,6.852443256,1.755823691,12.22966843,0,0,44.4
16,6532581.12067834,1180.22448780488,623.178634146341,0.48476307380329,5.32614634146341,0,0,0,3,0,1.705597602,4.562882783,79.34173332,2.151460689,6.852443256,1.755823691,12.22966843,0,0,44.4
