"week","gmv","product_mrp","list_price","Promotion","sla","cat_luxury","cat_mid","cat_premium","sale_days","holidays","TV","Digital","Sponsorship","ContentMarketing","OnlineMarketing","Affiliates","SEM","Radio","Other","NPS"
1,112044,4690.3,2801.1,0.364205685368225,2.725,0,0,0,0,0,0.026578073,0.332225914,0.983388704,0,0.172757475,0.066445183,0.664451827,0,0,54.6
2,3873845.1330905,3356.58418079096,2175.60621468927,0.318091121662627,7.4361581920904,0,0,0,0,0,0.051140171,0.728636546,2.568910687,0,0.332982443,0.121177476,1.483365654,0,0,54.6
2,64258,39496.8333333333,10709.6666666667,0.722683039734645,10.1666666666667,0,1,0,0,0,0.051140171,0.728636546,2.568910687,0,0.332982443,0.121177476,1.483365654,0,0,54.6
3,5572833,3409.14575214341,2157.64029618083,0.321786805428831,7.2049883086516,0,0,0,1,1,0.055417635,0.904324154,3.936113346,0,0.361415336,0.125212396,1.878463166,0,0,54.6
3,122436,39989.6666666667,13604,0.65601634604948,10.7777777777778,0,1,0,1,1,0.055417635,0.904324154,3.936113346,0,0.361415336,0.125212396,1.878463166,0,0,54.6
4,4680462,3298.93998234775,2055.69020300088,0.319723931365639,7.19902912621359,0,0,0,1,0,0.056162551,0.982188199,5.115058282,0,0.366460925,0.125509855,2.069084009,0,0,54.6
4,75355,40408,9419.375,0.770740537691402,8,0,1,0,1,0,0.056162551,0.982188199,5.115058282,0,0.366460925,0.125509855,2.069084009,0,0,54.6
5,4264229,3402.70353535354,2142.40656565657,0.312724044586091,7.32222222222222,0,0,0,0,0,0.049647759,0.976830123,5.922365419,0,0.327489186,0.112242747,2.077995474,0,0,57.3
5,68627,39092.6666666667,11437.8333333333,0.695904095116684,5,0,1,0,0,0,0.049647759,0.976830123,5.922365419,0,0.327489186,0.112242747,2.077995474,0,0,57.3
6,2599,3099,2599,0.16134236850597,9,0,0,0,0,0,0.008646105,0.735252788,5.362696001,0,0.081370757,0.031530463,1.583956077,0,0,60
10,94678,39443.5555555556,5259.88888888889,0.856795189721013,3.33333333333333,0,1,0,1,1,0.647848484,0.566995981,14.04481847,0.099667774,2.735966887,0.839060384,1.762966618,0,0,53.45
10,6408624,3440.53663239075,2045.53920308483,0.353339912252498,5.7133676092545,0,0,0,1,1,0.647848484,0.566995981,14.04481847,0.099667774,2.735966887,0.839060384,1.762966618,0,0,53.45
11,8747188,3409.94960702728,2011.97457235321,0.347414428097096,5.57651410078595,0,0,0,0,0,1.019798875,0.576871748,26.71556061,0.228635131,4.299467411,1.22464708,2.292430699,0,0,46.9
11,27074,39999,2256.16666666667,0.943594423193913,3.66666666666667,0,1,0,0,0,1.019798875,0.576871748,26.71556061,0.228635131,4.299467411,1.22464708,2.292430699,0,0,46.9
12,7475954,3264.76120189773,1948.5782814971,0.350754430255368,6.10279388508171,0,0,0,0,1,1.084573644,0.581248648,37.64159793,0.343928399,4.576920065,1.253072923,2.54787875,0,0,46.9
12,88776,39996,14796,0.63001575039376,2.66666666666667,0,1,0,0,1,1.084573644,0.581248648,37.64159793,0.343928399,4.576920065,1.253072923,2.54787875,0,0,46.9
13,170165,39370.3333333333,11344.3333333333,0.709774183527174,4.66666666666667,0,1,0,0,0,1.095854102,0.583188473,47.06316851,0.446997407,4.626155721,1.255168505,2.671123573,0,0,46.9
13,8549528,3065.03006189213,1884.03713527851,0.341265257482052,6.33465959328028,0,0,0,0,0,1.095854102,0.583188473,47.06316851,0.446997407,4.626155721,1.255168505,2.671123573,0,0,46.9
14,6413759,3072.00029735355,1893.76598275349,0.324903379559998,6.36425810288433,0,0,0,0,1,1.317087685,1.700327265,57.37015499,0.818208032,5.43223508,1.454658541,5.292046718,0,0,45.65
14,15165,39999,2166.42857142857,0.945837931662577,5.14285714285714,0,1,0,0,1,1.317087685,1.700327265,57.37015499,0.818208032,5.43223508,1.454658541,5.292046718,0,0,45.65
15,3766931,3079.41887755102,1890.08112244898,0.335393053991796,6.03673469387755,0,0,0,0,0,1.647974084,3.683810806,69.16821429,1.522153137,6.638401676,1.73514588,9.971833605,0,0,44.4
15,144467,38538.1428571429,20638.1428571429,0.451778789497437,4.42857142857143,0,1,0,0,0,1.647974084,3.683810806,69.16821429,1.522153137,6.638401676,1.73514588,9.971833605,0,0,44.4
16,3922261,39970.0363636364,17828.4590909091,0.553775073229357,6.00909090909091,0,1,0,3,0,1.705597602,4.562882783,79.34173332,2.151460689,6.852443256,1.755823691,12.22966843,0,0,44.4
16,14962975,3658.13608603293,1969.67910249602,0.415075999527277,5.90201805629315,0,0,0,3,0,1.705597602,4.562882783,79.34173332,2.151460689,6.852443256,1.755823691,12.22966843,0,0,44.4
17,913348,39638.5333333333,20296.6222222222,0.48598453782786,6.2,0,1,0,0,2,1.715632677,4.95248397,88.11440403,2.714044321,6.890426233,1.757348081,13.31899541,0,0,44.4
17,5463195,3249.26652142338,1957.98148148148,0.352220012762256,6.69244734931009,0,0,0,0,2,1.715632677,4.95248397,88.11440403,2.714044321,6.890426233,1.757348081,13.31899541,0,0,44.4
18,5745074,3262.4880952381,1997.25490196078,0.347015674985622,6.51015406162465,0,0,0,0,0,1.717380275,5.125153658,95.67911701,3.216978606,6.897166543,1.75746046,13.84455788,0,0,44.4
18,585067,39784.2222222222,16251.8611111111,0.588946962663874,6.08333333333333,0,1,0,0,0,1.717380275,5.125153658,95.67911701,3.216978606,6.897166543,1.75746046,13.84455788,0,0,44.4
19,110385,38492.3333333333,18397.5,0.518190758955966,5.16666666666667,0,1,0,1,0,1.275824152,2.573773197,85.80685383,2.922401969,5.782083582,1.664445489,7.888821217,0,0,47
19,6631194,4073.48815914114,2077.13640669403,0.408250990766635,5.2841806125671,0,0,0,1,0,1.275824152,2.573773197,85.80685383,2.922401969,5.782083582,1.664445489,7.888821217,0,0,47
20,429930,39147.8695652174,17910.4347826087,0.537043926433968,6.39130434782609,0,1,0,7,1,1.198927619,1.443011575,77.29395737,2.659058563,5.584205345,1.657588331,5.015384889,0,0,47
20,6384730.80005235,3873.60564304462,2081.44160104987,0.38756359953902,5.94192913385827,0,0,0,7,1,1.198927619,1.443011575,77.29395737,2.659058563,5.584205345,1.657588331,5.015384889,0,0,47
21,3784748,3621.29398663697,2098.38307349666,0.35061383431183,5.93875278396437,0,0,0,0,0,1.185536168,0.941862544,69.95324888,2.423636805,5.549090652,1.657082814,3.629051544,0,0,47
21,217553,39577.9166666667,18129.4166666667,0.537877184969045,5.75,0,1,0,0,0,1.185536168,0.941862544,69.95324888,2.423636805,5.549090652,1.657082814,3.629051544,0,0,47
22,66940,39994.5,16735,0.581527357013633,7.25,0,1,0,0,1,1.183204061,0.719755296,63.62332329,2.213176232,5.542859336,1.657045547,2.960193799,0,0,47
22,4053851.5,3313.82288008028,2019.74059207225,0.33327326151802,6.44355243351731,0,0,0,0,1,1.183204061,0.719755296,63.62332329,2.213176232,5.542859336,1.657045547,2.960193799,0,0,47
23,4507344,3702.96610935382,2021.54857659286,0.376917865010595,5.86624491640307,0,0,0,0,0,1.382133475,0.920321574,65.22480096,2.174531933,6.023481126,1.690265391,3.634170882,0,0,46.4
23,132374,38578,22062.3333333333,0.416733499969778,5.83333333333333,0,1,0,0,0,1.382133475,0.920321574,65.22480096,2.174531933,6.023481126,1.690265391,3.634170882,0,0,46.4
24,6963559.17546289,4628.62464722484,2173.75823142051,0.453802783458713,4.99655064283474,0,0,0,0,0,1.496511043,1.128813076,69.42968255,2.199785658,6.301461409,1.706003428,4.358012539,0,0,45.8
24,88310,36420,29436.6666666667,0.184410979145439,7.33333333333333,0,1,0,0,0,1.496511043,1.128813076,69.42968255,2.199785658,6.301461409,1.706003428,4.358012539,0,0,45.8
25,5141386,3923.59322033898,2121.76229847044,0.38461634083319,5.91814799503927,0,0,0,0,0,1.516429775,1.221215676,73.05557065,2.222361793,6.350790696,1.707163652,4.707241028,0,0,45.8
25,88360,39993.6,17672,0.558094462489094,4.2,0,1,0,0,0,1.516429775,1.221215676,73.05557065,2.222361793,6.350790696,1.707163652,4.707241028,0,0,45.8
26,188212,38435.3333333333,15684.3333333333,0.572160565689728,6.25,0,1,0,2,2,1.519898602,1.262168139,76.18219008,2.242544236,6.359544478,1.707249185,4.875731658,0,0,45.8
26,9368627.25002573,4474.65575396825,2282.390625,0.436819264889791,4.92261904761905,0,0,0,2,2,1.519898602,1.262168139,76.18219008,2.242544236,6.359544478,1.707249185,4.875731658,0,0,45.8
27,5278070.25002573,3600.81103948429,2119.017727639,0.361428240605977,5.67324738114424,0,0,0,7,0,1.454057512,1.107560632,75.38991584,2.247297748,6.387675962,1.7471226,4.491906263,0.179401993,1.800664452,46.45
27,128360,38588.9285714286,9168.57142857143,0.741950406154882,5.07142857142857,0,1,0,7,0,1.454057512,1.107560632,75.38991584,2.247297748,6.387675962,1.7471226,4.491906263,0.179401993,1.800664452,46.45
28,39362,39545.8333333333,6560.33333333333,0.827326372089917,4.5,0,1,0,1,0,1.276478398,0.607145515,65.98580401,2.218324666,6.459113248,1.849729883,3.143933128,0.778171565,7.856954164,47.1
28,7183485,4252.80553077609,2129.27653880464,0.426969398080108,5.009515313708,0,0,0,1,0,1.276478398,0.607145515,65.98580401,2.218324666,6.459113248,1.849729883,3.143933128,0.778171565,7.856954164,47.1
29,5368439,4103.50988301735,2153.96409842678,0.396650765196982,5.40258168616378,0,0,0,0,0,1.245553183,0.385363535,57.87659653,2.192423528,6.471790227,1.857294196,2.493582853,1.279692543,13.08573573,47.1
29,10777,39999,2155.4,0.946113652841321,4.4,0,1,0,0,0,1.245553183,0.385363535,57.87659653,2.192423528,6.471790227,1.857294196,2.493582853,1.279692543,13.08573573,47.1
29,75000,98000,75000,0.23469387755102,6,0,0,1,0,0,1.245553183,0.385363535,57.87659653,2.192423528,6.471790227,1.857294196,2.493582853,1.279692543,13.08573573,47.1
30,45128,40999.3333333333,15042.6666666667,0.647624281692314,4.33333333333333,0,1,0,3,0,1.240167589,0.287070648,50.88399085,2.169268623,6.474039834,1.857851845,2.179811407,1.699759466,17.60007668,47.1
30,6324192.34010856,3980.6231884058,2083.63565891473,0.407658286485815,5.42635658914729,0,0,0,3,0,1.240167589,0.287070648,50.88399085,2.169268623,6.474039834,1.857851845,2.179811407,1.699759466,17.60007668,47.1
31,133894,39138.8571428571,19127.7142857143,0.509639081071084,5,0,1,0,0,1,1.239229693,0.243507634,44.85423587,2.148568776,6.474439041,1.857892955,2.028427569,2.051601617,21.49759543,47.1
31,4601949,3692.18798361402,2085.95038689122,0.365353969098844,5.93900773782431,0,0,0,0,1,1.239229693,0.243507634,44.85423587,2.148568776,6.474439041,1.857892955,2.028427569,2.051601617,21.49759543,47.1
32,7195991,4218.2956780924,2138.86229508197,0.423177984880211,4.94128166915052,0,0,0,2,0,0.880262373,0.503270447,41.14976793,2.070263017,5.876503238,1.678493993,2.094925003,1.808093678,19.46057885,48.7
32,97534,39055.6,19506.8,0.501000735099309,5,0,1,0,2,0,0.880262373,0.503270447,41.14976793,2.070263017,5.876503238,1.678493993,2.094925003,1.808093678,19.46057885,48.7
33,5161590,3767.67151515151,2078.20242424242,0.379798364820913,5.30222222222222,0,0,0,0,0,0.757947928,0.664907916,38.20455818,1.990293047,5.670728128,1.635368187,2.150263522,1.514433854,16.80156016,50.3
33,4715,39999,2357.5,0.941061026525663,4,0,1,0,0,0,0.757947928,0.664907916,38.20455818,1.990293047,5.670728128,1.635368187,2.150263522,1.514433854,16.80156016,50.3
34,6368441.24000059,3969.55177020708,2107.08450233801,0.404432037783109,5.14028056112224,0,0,0,3,0,0.736646996,0.736544996,35.66489071,1.918802094,5.634212086,1.632188909,2.176962438,1.268468512,14.50585956,50.3
34,37195,45749.5,18597.5,0.632755988802633,6,0,1,0,3,0,0.736646996,0.736544996,35.66489071,1.918802094,5.634212086,1.632188909,2.176962438,1.268468512,14.50585956,50.3
35,153885,39473.8888888889,17098.3333333333,0.562681804505131,5,0,1,0,1,0,0.732937461,0.768294263,33.47492416,1.85489115,5.627732093,1.631954529,2.189843738,1.062451399,12.52383466,50.3
